airpt_arr,value,airpt_dep,airpt_dep_lat,airpt_dep_lon,airpt_arr_lat,airpt_arr_lon
EGCC,935406,GCTS,28.044500351,-16.5725002289,53.35369873046875,-2.2749500274658203
EGKK,699845,GCTS,28.044500351,-16.5725002289,51.148102,-0.190278
LEMD,555395,GCTS,28.044500351,-16.5725002289,40.471926,-3.56264
EGBB,321776,GCTS,28.044500351,-16.5725002289,52.4538993835,-1.7480299472799998
EGPF,294788,GCTS,28.044500351,-16.5725002289,55.8718986511,-4.43306016922
EHAM,214832,GCTS,28.044500351,-16.5725002289,52.308601,4.76389
EBBR,211562,GCTS,28.044500351,-16.5725002289,50.9014015198,4.48443984985
LEBL,184271,GCTS,28.044500351,-16.5725002289,41.2971,2.0784599999999998
EGGW,171653,GCTS,28.044500351,-16.5725002289,51.87469863891602,-0.36833301186561584
EGNT,166562,GCTS,28.044500351,-16.5725002289,55.037498474121094,-1.6916699409484863
EDDF,165101,GCTS,28.044500351,-16.5725002289,50.033333,8.570556
LEBB,150812,GCTS,28.044500351,-16.5725002289,43.30110168457031,-2.9106099605560303
EDDL,145566,GCTS,28.044500351,-16.5725002289,51.289501,6.766780000000001
EGNX,140959,GCTS,28.044500351,-16.5725002289,52.8311004639,-1.32806003094
EDDM,134025,GCTS,28.044500351,-16.5725002289,48.353802,11.7861
EGGD,124896,GCTS,28.044500351,-16.5725002289,51.382702,-2.71909
EFHK,116704,GCTS,28.044500351,-16.5725002289,60.317199707031,24.963300704956
EDDS,115346,GCTS,28.044500351,-16.5725002289,48.6898994446,9.22196006775
EDDH,110484,GCTS,28.044500351,-16.5725002289,53.630401611328004,9.988229751586902
EGSS,108414,GCTS,28.044500351,-16.5725002289,51.8849983215,0.23499999940400002
EDDN,101937,GCTS,28.044500351,-16.5725002289,49.498699,11.078056
LEST,98582,GCTS,28.044500351,-16.5725002289,42.89630126953125,-8.415140151977539
EDDV,94359,GCTS,28.044500351,-16.5725002289,52.461101532,9.68507957458
ESSA,92677,GCTS,28.044500351,-16.5725002289,59.651901245116996,17.918600082397
EIDW,89875,GCTS,28.044500351,-16.5725002289,53.421299,-6.27007
LEMG,85683,GCTS,28.044500351,-16.5725002289,36.67490005493164,-4.499110221862793
ENGM,80972,GCTS,28.044500351,-16.5725002289,60.193901062011996,11.100399971008
EKCH,79989,GCTS,28.044500351,-16.5725002289,55.617900848389,12.656000137328999
LEVC,78773,GCTS,28.044500351,-16.5725002289,39.4893,-0.481625
EGFF,75942,GCTS,28.044500351,-16.5725002289,51.39670181274414,-3.343329906463623
