airpt_arr,pax2016,airpt_dep,airpt_dep_lat,airpt_dep_lon,airpt_arr_lat,airpt_arr_lon
LEBL,881722,LEZL,37.41799926757813,-5.8931097984313965,41.2971,2.0784599999999998
LEMD,284435,LEZL,37.41799926757813,-5.8931097984313965,40.471926,-3.56264
EGKK,232169,LEZL,37.41799926757813,-5.8931097984313965,51.148102,-0.190278
LEPA,231711,LEZL,37.41799926757813,-5.8931097984313965,39.551700591999996,2.73881006241
LFPO,204467,LEZL,37.41799926757813,-5.8931097984313965,48.7233333,2.3794444
LFPG,190970,LEZL,37.41799926757813,-5.8931097984313965,49.012798,2.55
LIRF,181231,LEZL,37.41799926757813,-5.8931097984313965,41.800277799999996,12.238888900000001
GCLP,172104,LEZL,37.41799926757813,-5.8931097984313965,27.931900024414066,-15.38659954071045
LEBB,160174,LEZL,37.41799926757813,-5.8931097984313965,43.30110168457031,-2.9106099605560303
GCXO,146990,LEZL,37.41799926757813,-5.8931097984313965,28.4827003479,-16.341499328599998
EGSS,137325,LEZL,37.41799926757813,-5.8931097984313965,51.8849983215,0.23499999940400002
EHAM,135980,LEZL,37.41799926757813,-5.8931097984313965,52.308601,4.76389
LIME,127896,LEZL,37.41799926757813,-5.8931097984313965,45.673901,9.70417
EBCI,124902,LEZL,37.41799926757813,-5.8931097984313965,50.459202000000005,4.4538199999999994
LEVC,113126,LEZL,37.41799926757813,-5.8931097984313965,39.4893,-0.481625
LEST,76036,LEZL,37.41799926757813,-5.8931097984313965,42.89630126953125,-8.415140151977539
GCRR,71824,LEZL,37.41799926757813,-5.8931097984313965,28.945498999999998,-13.6052
EDDM,68923,LEZL,37.41799926757813,-5.8931097984313965,48.353802,11.7861
LECO,68428,LEZL,37.41799926757813,-5.8931097984313965,43.302101,-8.37726
LIPE,67564,LEZL,37.41799926757813,-5.8931097984313965,44.5354,11.2887
LFOB,67231,LEZL,37.41799926757813,-5.8931097984313965,49.45439910888672,2.1127800941467285
LPPT,65568,LEZL,37.41799926757813,-5.8931097984313965,38.7813,-9.13592
GCTS,53398,LEZL,37.41799926757813,-5.8931097984313965,28.044500351,-16.5725002289
LEIB,52488,LEZL,37.41799926757813,-5.8931097984313965,38.8728981018,1.3731199502899998
LIMC,52162,LEZL,37.41799926757813,-5.8931097984313965,45.6306,8.728110000000001
LFBO,51811,LEZL,37.41799926757813,-5.8931097984313965,43.629101,1.36382
LFML,48514,LEZL,37.41799926757813,-5.8931097984313965,43.439271921999996,5.22142410278
EDDF,41924,LEZL,37.41799926757813,-5.8931097984313965,50.033333,8.570556
LSGG,41154,LEZL,37.41799926757813,-5.8931097984313965,46.23809814453125,6.108950138092041
